camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,carplate
6714,https://images.data.gov.sg/api/traffic-images/2023/07/6799eb12-e1d3-4aa3-b90d-dcbfe3941e9a.jpg,1.361742,103.703341,FRC0,86,86,48,48,1.0,False,17,5,3,1,0,0
6715,https://images.data.gov.sg/api/traffic-images/2023/07/907311ef-76ec-47ee-8520-58630a8a1b07.jpg,1.356299,103.716071,FRC4,57,57,25,25,1.0,False,4,1,0,0,0,0
6716,https://images.data.gov.sg/api/traffic-images/2023/07/3a4eaec3-f571-484c-bbbc-bcbc33c1fde7.jpg,1.322893,103.6635051,FRC0,88,88,45,45,1.0,False,12,3,1,0,0,0
7791,https://images.data.gov.sg/api/traffic-images/2023/07/d23913aa-1a5d-47cf-bc65-a03b2a70b528.jpg,1.354245,103.963782,FRC0,88,88,196,196,1.0,False,13,2,1,0,0,0
7793,https://images.data.gov.sg/api/traffic-images/2023/07/cefeeecf-b6d6-4c3a-a6fe-f5b63631d1d2.jpg,1.37704704,103.92946983,FRC1,23,23,96,51,1.0,False,14,9,2,0,0,0
7794,https://images.data.gov.sg/api/traffic-images/2023/07/04cb88cb-8409-4219-8870-9bfd9ea0af00.jpg,1.37988658,103.92009174,FRC0,69,69,33,33,1.0,False,4,0,0,1,0,0
7795,https://images.data.gov.sg/api/traffic-images/2023/07/95ed7566-2984-4bb2-b998-86ac3ac77213.jpg,1.38432741,103.91585701,FRC0,60,60,39,39,1.0,False,7,4,1,0,0,0
7796,https://images.data.gov.sg/api/traffic-images/2023/07/2c7f97e5-1a6a-488f-8892-a29b98466b98.jpg,1.39559294,103.90515712,FRC0,90,90,259,259,1.0,False,12,3,0,0,0,0
7797,https://images.data.gov.sg/api/traffic-images/2023/07/083a09c7-11b6-49e2-9589-f21c1bed9766.jpg,1.40002575,103.85702534,FRC4,71,71,36,36,1.0,False,0,2,0,0,0,0
7798,https://images.data.gov.sg/api/traffic-images/2023/07/7a9d3a74-c97e-48df-889c-40119ed8d63a.jpg,1.39748842,103.85400467,FRC4,69,69,43,43,1.0,False,5,4,0,1,1,0
8701,https://images.data.gov.sg/api/traffic-images/2023/07/1666796c-0f7a-425c-baae-afff44169048.jpg,1.38647,103.74143,FRC0,92,92,273,273,1.0,False,13,5,0,1,0,0
8702,https://images.data.gov.sg/api/traffic-images/2023/07/0e0c3e1c-4e38-4418-bf3d-76cfeee7eccf.jpg,1.39059,103.7717,FRC0,73,73,56,56,1.0,False,10,5,1,1,0,0
8704,https://images.data.gov.sg/api/traffic-images/2023/07/3bd1ba3b-d83c-4b4b-9cbd-f90b7ba8af64.jpg,1.3899,103.74843,FRC0,90,90,249,249,1.0,False,5,0,1,0,0,0
8706,https://images.data.gov.sg/api/traffic-images/2023/07/ae422ff2-5b36-4dc9-b4a0-9b3aa813edb3.jpg,1.3664,103.70899,FRC0,82,82,67,67,1.0,False,0,0,0,0,0,0
9701,https://images.data.gov.sg/api/traffic-images/2023/07/7a748c89-937c-4de2-844c-cd49f5131edc.jpg,1.39466333,103.83474601,FRC0,91,91,421,421,1.0,False,5,2,0,0,0,0
9702,https://images.data.gov.sg/api/traffic-images/2023/07/9762fc45-0de8-4bd2-8df8-5f3701aa7d6b.jpg,1.39474081,103.81797086,FRC0,91,91,421,421,1.0,False,18,3,1,2,2,0
9703,https://images.data.gov.sg/api/traffic-images/2023/07/41cff633-9e8b-4ba2-b8a2-eef1df98588d.jpg,1.422857,103.773005,FRC0,72,72,44,44,1.0,False,1,0,0,0,0,0
9704,https://images.data.gov.sg/api/traffic-images/2023/07/e5bad1b3-67cc-4306-bfc5-ed5327ec9303.jpg,1.42214311,103.79542062,FRC0,90,90,399,399,1.0,False,1,0,1,0,0,0
9705,https://images.data.gov.sg/api/traffic-images/2023/07/8122e0e9-9947-4a9e-b491-287fcdf8cb45.jpg,1.42627712,103.78716637,FRC0,91,91,421,421,1.0,False,10,5,2,2,1,0
9706,https://images.data.gov.sg/api/traffic-images/2023/07/a0f5a180-bb04-433b-9660-ca00b3cf2d43.jpg,1.41270056,103.80642712,FRC0,90,90,399,399,1.0,False,14,5,0,0,2,0
