camera_id,image_url,latitude,longitude,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure,car,truck,bus,motorbike,tricycle,tomtom_congestion,my_congestion,congestion
1711,https://images.data.gov.sg/api/traffic-images/2023/07/3456541a-16d3-4f2c-ad4b-95067a45bde8.jpg,1.35296,103.85719,FRC0,90,90,182,182,1.0,False,31,0,0,0,0,1,3,2
1001,https://images.data.gov.sg/api/traffic-images/2023/07/3e1d9b5b-5f38-4710-8593-552c1e16828d.jpg,1.29531332,103.871146,FRC3,74,74,151,151,1.0,False,0,0,0,0,0,1,1,1
1002,https://images.data.gov.sg/api/traffic-images/2023/07/4fcb0d3a-de1f-4ad9-a531-19fa8747e0ce.jpg,1.319541067,103.8785627,FRC0,68,68,40,40,1.0,False,3,0,0,0,0,1,1,1
1003,https://images.data.gov.sg/api/traffic-images/2023/07/b31eb741-9f49-47df-a793-abf400357091.jpg,1.323957439,103.8728576,FRC0,36,36,92,45,1.0,False,3,0,0,0,0,3,1,2
1004,https://images.data.gov.sg/api/traffic-images/2023/07/c0e36f63-8446-4685-883c-b09cf2658559.jpg,1.319535712,103.8750668,FRC0,72,72,49,49,1.0,False,5,0,0,0,0,1,1,1
1005,https://images.data.gov.sg/api/traffic-images/2023/07/e3540cd2-f179-4397-823b-17ad8733a765.jpg,1.363519886,103.905394,FRC0,85,85,159,159,1.0,False,6,0,0,0,0,1,1,1
1006,https://images.data.gov.sg/api/traffic-images/2023/07/875cdf85-8e98-4c2f-aba5-b1c5aa279b9e.jpg,1.357098686,103.902042,FRC0,83,83,193,193,1.0,False,6,0,0,0,0,1,1,1
1111,https://images.data.gov.sg/api/traffic-images/2023/07/69df8d42-2f5a-48e7-b130-42b9a92ec7d2.jpg,1.365434,103.953997,FRC0,88,88,196,196,1.0,False,11,0,0,0,0,1,2,2
1112,https://images.data.gov.sg/api/traffic-images/2023/07/d5849030-5ad2-4788-9ab7-17352689972d.jpg,1.3605,103.961412,FRC4,48,48,1610,1458,0.977871,True,23,0,0,0,0,2,3,3
1113,https://images.data.gov.sg/api/traffic-images/2023/07/e0595748-b9c2-480f-8fdc-fc57ee769d8b.jpg,1.317036,103.988598,FRC2,61,61,1064,1064,1.0,False,7,1,0,0,0,1,1,1
1501,https://images.data.gov.sg/api/traffic-images/2023/07/23b0abcb-e923-4e86-8226-27e5ee82bb10.jpg,1.27414394350065,103.851316802547,FRC0,66,66,581,457,1.0,False,0,0,0,0,0,2,1,2
1502,https://images.data.gov.sg/api/traffic-images/2023/07/fa2cf56e-58fd-4102-b109-1d6cdb0878b6.jpg,1.27135090682664,103.861828440597,FRC3,58,58,43,43,1.0,False,0,0,0,0,0,1,1,1
1503,https://images.data.gov.sg/api/traffic-images/2023/07/9cff81c0-4f84-4af4-960b-2f8b9b348609.jpg,1.27066408655104,103.856977943394,FRC0,85,85,468,468,1.0,False,2,0,0,0,0,1,1,1
1504,https://images.data.gov.sg/api/traffic-images/2023/07/1a5e3dcb-53b0-433c-9484-de5977f7c496.jpg,1.29409891409364,103.876056196568,FRC0,78,78,36,36,1.0,False,3,0,0,0,0,1,1,1
1505,https://images.data.gov.sg/api/traffic-images/2023/07/3346c23e-6216-4af5-87a6-ec6bab5b0fdc.jpg,1.2752977149006,103.866390381759,FRC3,60,60,29,29,1.0,False,0,0,0,0,0,1,1,1
1701,https://images.data.gov.sg/api/traffic-images/2023/07/ebf9bbf9-1848-4f76-8987-3ca042289f19.jpg,1.323604823,103.8587802,FRC0,83,83,353,353,1.0,False,60,0,0,0,0,1,3,2
